Instance,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,Label
2887,151.84375,43.64177462,160.3271484,47.81927449,165.9296875,49.72731245,2510.275494,38.71640869,0.030529821,0.001078665,0.032842563,0.447434168,2
2888,148.0654297,45.42009442,156.0449219,50.38959479,161.3085938,52.84681286,2502.402706,38.6478603,0.031187993,0.001075108,0.032787951,0.500164113,2
2889,150.7236328,45.17082148,158.8632813,49.80190112,164.1484375,51.91291383,2634.338084,39.43495545,0.026829772,0.001075849,0.03279854,0.458517791,2
2890,154.3134766,42.21749367,162.9902344,46.53470125,168.6396484,48.46908275,2457.235708,37.94333702,0.032042285,0.001087769,0.03298034,0.423471627,2
2891,151.0039063,45.00870125,159.2041016,50.02210783,164.3544922,52.44105991,2539.084303,38.21021397,0.031220092,0.001075383,0.032792704,0.487770172,2
2892,146.8173828,46.72589672,154.6318359,51.71400282,159.7685547,54.16093051,2659.248431,39.80454117,0.028283477,0.001080289,0.032867128,0.494975965,2
2893,155.1259766,41.73304705,163.8974609,45.7114574,169.6054688,47.35890444,2343.081922,37.31333734,0.029871393,0.001096881,0.033118616,0.429493082,2
2894,151.3271484,44.78973669,159.6455078,49.21362393,165.1943359,51.07114683,2558.057712,39.14850254,0.027810398,0.001087769,0.032980246,0.463505656,2
2895,147.0390625,46.28124407,154.9306641,51.15463762,160.1572266,53.61310407,2560.434557,39.17837864,0.031511377,0.001067595,0.032673739,0.504903855,2
2896,146.8798828,46.18335809,154.8037109,51.16740244,160.03125,53.70316819,2652.380967,39.54724896,0.033901808,0.001085128,0.032940122,0.488101539,2
2897,149.6220703,45.16007489,157.7197266,50.04619508,163.0976563,52.44841434,2573.273047,38.90362415,0.034335152,0.001088243,0.032987399,0.475381989,2
2898,153.6328125,42.79801235,162.1826172,47.20766178,167.7412109,49.19181228,2490.653827,38.29775299,0.031645106,0.001087735,0.032979925,0.435589672,2
2899,154.6181641,42.93242444,163.3720703,46.87276288,169.0966797,48.36463702,2525.874504,38.52595766,0.027494912,0.001083704,0.032918089,0.416556492,2
2900,154.2998047,34.44624662,164.6005859,37.40150659,172.2675781,38.17438763,2344.297493,37.83038502,0.028010949,0.001103711,0.033220192,0.139494092,2
2901,154.3232422,34.20397807,164.7109375,37.07080479,172.4355469,38.10257724,2252.657299,37.19947483,0.027661942,0.001093491,0.033067145,0.162127176,2
2902,154.890625,34.74755148,165.3847656,37.65064017,173.1699219,38.72698956,2323.288924,37.70361277,0.027498133,0.001092441,0.033051262,0.15996829,2
2903,155.6552734,34.6005288,166.0878906,37.6724173,173.8867188,38.56321995,2313.469189,37.63101587,0.026490045,0.001103811,0.033221074,0.155188463,2
2904,154.6416016,34.43241608,165.1220703,37.3881632,172.8515625,38.12870675,2325.34414,37.65385991,0.02835094,0.001105302,0.033244072,0.142610564,2
2905,154.6416016,34.43241608,165.1220703,37.3881632,172.8515625,38.12870675,2325.34414,37.65385991,0.02835094,0.001105302,0.033244072,0.142610564,2
2906,154.5556641,34.61615449,164.6503906,37.67385273,172.2587891,38.68922175,2333.731977,37.85509073,0.026258897,0.001107842,0.033282415,0.152361696,2
2907,154.5556641,34.61615449,164.6503906,37.67385273,172.2587891,38.68922175,2333.731977,37.85509073,0.026258897,0.001107842,0.033282415,0.152361696,2
2908,154.9296875,35.35007594,164.9794922,38.21250932,172.5009766,39.22685423,2431.55207,38.54060711,0.025708854,0.001093424,0.03306572,0.139728044,2
2909,153.5556641,34.15736256,163.7431641,37.07674489,171.3691406,38.20898108,2256.60118,37.29744407,0.027452936,0.001090342,0.033019491,0.162374558,2
2910,155.7988281,34.7795872,166.2685547,37.61608526,174.0078125,38.52500124,2368.423387,38.03181907,0.025472087,0.001095657,0.033099009,0.137554543,2
2911,154.3232422,34.20397807,164.7109375,37.07080479,172.4355469,38.10257724,2252.657299,37.19947483,0.027661942,0.001093491,0.033067145,0.162127176,2
2912,153.5556641,34.15736256,163.7431641,37.07674489,171.3691406,38.20898108,2256.60118,37.29744407,0.027452936,0.001090342,0.033019491,0.162374558,2
2913,155.6699219,34.72698251,166.1269531,37.84135645,173.9335938,38.81609137,2322.346677,37.64777901,0.026895025,0.00110327,0.033212954,0.162692106,2
2914,155.4609375,34.26836354,165.7802734,37.27950228,173.5244141,38.17969168,2301.078003,37.58166136,0.026428514,0.001106959,0.033268378,0.149416022,2
2915,155.8388672,34.99325288,166.3867188,37.97265746,174.1669922,39.10161097,2370.548111,38.00162591,0.025864854,0.001099855,0.033162018,0.15619168,2
2916,155.6699219,34.72698251,166.1269531,37.84135645,173.9335938,38.81609137,2322.346677,37.64777901,0.026895025,0.00110327,0.033212954,0.162692106,2
2917,154.5556641,34.61615449,164.6503906,37.67385273,172.2587891,38.68922175,2333.731977,37.85509073,0.026258897,0.001107842,0.033282415,0.152361696,2
2918,155.9697266,34.80672166,166.4873047,37.69109947,174.2480469,38.66928332,2365.436923,37.99459385,0.025536491,0.00109928,0.033153603,0.145448496,2
2919,155.9697266,34.80672166,166.4873047,37.69109947,174.2480469,38.66928332,2365.436923,37.99459385,0.025536491,0.00109928,0.033153603,0.145448496,2
2920,149.6669922,38.33563031,159.5800781,40.43186584,168.2460938,40.31535824,2504.921477,39.15414445,0.029270892,0.001082355,0.032898679,0.204591251,2
2921,152.2509766,39.65516029,162.7148438,41.55066484,171.6064453,40.97181765,2843.333255,41.41051802,0.023971238,0.001084587,0.032932002,0.150299698,2
2922,149.1367188,38.98984317,158.9609375,41.34086155,167.5283203,41.35985819,2526.868911,39.05823198,0.026180071,0.001089634,0.033009148,0.237179029,2
2923,150.3066406,38.89596645,160.6386719,40.48367616,169.7050781,39.66417786,2618.563784,39.77367326,0.030456167,0.001076699,0.032811902,0.17372391,2
2924,151.3574219,37.48834693,161.7519531,39.27488508,170.6904297,38.85500976,2475.510373,38.42278551,0.028986744,0.001095998,0.033105057,0.173752953,2
2925,145.9902344,40.78894686,155.2333984,43.5581196,163.4365234,43.8984076,2485.050891,38.82719823,0.025995386,0.001080014,0.032861997,0.320975115,2
2926,148.6142578,40.25323444,158.3681641,42.66624428,166.9355469,42.69483999,2717.325589,40.26147893,0.028223119,0.001076391,0.032806645,0.229646091,2
2927,146.6826172,41.46489774,156.0761719,43.99906847,164.3720703,44.34525016,2679.731123,40.61465921,0.02376161,0.00106986,0.032707942,0.284017449,2
2928,150.265625,38.04075926,160.2587891,40.12481042,169.0185547,39.6528718,2438.942573,38.50373959,0.028755174,0.001083846,0.032921207,0.215089699,2
2929,149.4785156,39.43784082,159.2705078,41.70656504,167.7363281,41.91696601,2649.017462,40.24603278,0.023729146,0.00107704,0.032817799,0.215769664,2
2930,150.6806641,38.72469659,160.5478516,40.90465829,169.0048828,41.0026554,2671.227904,40.45385666,0.023942091,0.001074433,0.032778019,0.183305079,2
2931,147.5654297,41.91403983,157.2294922,44.32824418,165.7392578,44.31848714,2729.760414,40.91629,0.024587397,0.001076157,0.032804096,0.272327804,2
2932,150.7998047,37.46391441,160.8779297,39.30263366,169.546875,38.99358609,2453.50991,38.70139341,0.030388737,0.001081305,0.032882704,0.188359255,2
2933,151.8359375,37.68470706,161.9433594,39.60272337,170.5830078,39.38029409,2577.204962,39.23016389,0.030039317,0.001100562,0.033172835,0.163406889,2
2934,150.3496094,39.51993217,160.7382813,41.38399,169.8447266,40.58719769,2735.025283,40.82576743,0.025389973,0.001083229,0.032910343,0.168604749,2
2935,151.7929688,38.21454788,162.2675781,39.98508857,171.3125,39.52906367,2579.447987,39.22640804,0.031534566,0.001096606,0.03311433,0.157869126,2
2936,152.7275391,37.24427105,163.140625,39.25171361,172.0097656,38.96071617,2454.80533,38.05097229,0.029495341,0.001099313,0.03315462,0.183604729,2
2937,151.4199219,37.58079101,161.703125,39.3607334,170.5556641,38.90401383,2492.979188,38.58444979,0.029218914,0.001099655,0.033160113,0.172541833,2
2938,147.5546875,39.76445464,157.2402344,42.26424619,165.7919922,42.34877385,2507.090279,39.01330808,0.024480196,0.001081572,0.032885747,0.270934351,2
2939,150.8496094,38.47227644,161.2919922,40.091956,170.5136719,39.29199844,2621.241228,39.88386934,0.031238242,0.001072567,0.032748968,0.151697001,2
2940,152.0351563,38.17546269,161.8740234,40.05073381,170.15625,39.90759591,2555.252195,39.40325832,0.025981753,0.001092333,0.033047648,0.164401267,2
2941,152.0351563,38.17546269,161.8740234,40.05073381,170.15625,39.90759591,2555.252195,39.40325832,0.025981753,0.001092333,0.033047648,0.164401267,2
2942,151.9130859,38.16221627,161.5625,39.98901216,169.8808594,39.91225073,2473.337425,38.98320434,0.025611238,0.001076765,0.032813032,0.197408072,2
2943,152.0205078,37.34400587,161.7597656,39.20233599,170.0361328,39.20242019,2369.762674,37.5557606,0.032618179,0.001100871,0.033178412,0.193611409,2
2944,151.2138672,38.2449466,160.1591797,40.6943765,167.8505859,41.19385549,2519.616212,39.33787233,0.025214803,0.001077207,0.032820102,0.213384998,2
2945,149.9990234,38.0747235,158.7988281,40.65206501,166.2177734,41.34053082,2510.719831,38.98576515,0.026886712,0.001080689,0.03287156,0.213391074,2
2946,151.4208984,37.05627573,160.5078125,39.51436074,168.1982422,40.14072848,2368.462393,37.56025624,0.032508443,0.001100804,0.033177584,0.210802711,2
2947,152.234375,36.00094603,162.1298828,37.84055939,170.4912109,37.7505681,2187.345262,36.26305606,0.03156739,0.001100471,0.033172602,0.203876172,2
2948,151.8193359,36.21571085,161.4628906,38.11634879,169.6435547,38.09562005,2206.618,36.4543363,0.030840414,0.001099996,0.033165499,0.209521884,2
2949,152.234375,36.00094603,162.1298828,37.84055939,170.4912109,37.7505681,2187.345262,36.26305606,0.03156739,0.001100471,0.033172602,0.203876172,2
2950,152.5136719,37.34687237,162.4736328,39.17089072,170.8779297,39.15800501,2388.040323,37.7983058,0.031805854,0.001100363,0.033170588,0.186630213,2
2951,151.2138672,38.2449466,160.1591797,40.6943765,167.8505859,41.19385549,2519.616212,39.33787233,0.025214803,0.001077207,0.032820102,0.213384998,2
2952,151.9316406,37.98166209,161.4765625,39.91530875,169.5458984,39.91489779,2541.312557,39.38048745,0.025525334,0.001089151,0.032999589,0.171319913,2
2953,151.8193359,36.21571085,161.4628906,38.11634879,169.6435547,38.09562005,2206.618,36.4543363,0.030840414,0.001099996,0.033165499,0.209521884,2
2954,151.2177734,37.97432362,160.4375,40.2835652,168.1962891,40.65637666,2537.530299,39.24083799,0.026371281,0.001082821,0.032903866,0.184349545,2
2955,151.2783203,36.12840164,160.6025391,38.35755448,168.4941406,38.64971859,2205.456637,36.4481172,0.030180204,0.001098439,0.033142042,0.222084407,2
2956,151.4208984,37.05627573,160.5078125,39.51436074,168.1982422,40.14072848,2368.462393,37.56025624,0.032508443,0.001100804,0.033177584,0.210802711,2
2957,151.2783203,36.12840164,160.6025391,38.35755448,168.4941406,38.64971859,2205.456637,36.4481172,0.030180204,0.001098439,0.033142042,0.222084407,2
2958,151.8193359,36.21571085,161.4628906,38.11634879,169.6435547,38.09562005,2206.618,36.4543363,0.030840414,0.001099996,0.033165499,0.209521884,2
2959,152.234375,36.00094603,162.1298828,37.84055939,170.4912109,37.7505681,2187.345262,36.26305606,0.03156739,0.001100471,0.033172602,0.203876172,2
